CustomerID,Lookalikes
C0001,"C0048 (Score: 0.96), C0190 (Score: 0.95), C0112 (Score: 0.91)"
C0002,"C0088 (Score: 1.00), C0106 (Score: 0.92), C0056 (Score: 0.90)"
C0003,"C0195 (Score: 0.95), C0152 (Score: 0.90), C0052 (Score: 0.89)"
C0004,"C0169 (Score: 0.97), C0165 (Score: 0.97), C0155 (Score: 0.89)"
C0005,"C0146 (Score: 0.99), C0186 (Score: 0.98), C0007 (Score: 0.90)"
C0006,"C0168 (Score: 0.98), C0171 (Score: 0.97), C0187 (Score: 0.97)"
C0007,"C0140 (Score: 0.97), C0115 (Score: 0.95), C0005 (Score: 0.90)"
C0008,"C0160 (Score: 0.85), C0038 (Score: 0.82), C0065 (Score: 0.75)"
C0009,"C0198 (Score: 0.97), C0103 (Score: 0.96), C0062 (Score: 0.91)"
C0010,"C0111 (Score: 0.94), C0103 (Score: 0.89), C0062 (Score: 0.89)"
C0011,"C0126 (Score: 1.00), C0137 (Score: 0.95), C0155 (Score: 0.91)"
C0012,"C0104 (Score: 0.98), C0195 (Score: 0.97), C0113 (Score: 0.93)"
C0013,"C0099 (Score: 0.98), C0108 (Score: 0.91), C0107 (Score: 0.78)"
C0014,"C0060 (Score: 0.97), C0172 (Score: 0.89), C0097 (Score: 0.88)"
C0015,"C0131 (Score: 0.97), C0036 (Score: 0.96), C0125 (Score: 0.82)"
C0016,"C0183 (Score: 0.98), C0176 (Score: 0.98), C0042 (Score: 0.94)"
C0017,"C0075 (Score: 0.95), C0057 (Score: 0.85), C0041 (Score: 0.85)"
C0018,"C0046 (Score: 0.94), C0122 (Score: 0.87), C0117 (Score: 0.87)"
C0019,"C0121 (Score: 0.97), C0081 (Score: 0.85), C0132 (Score: 0.81)"
C0020,"C0050 (Score: 0.92), C0140 (Score: 0.80), C0026 (Score: 0.78)"
